零件编号,名称,模块,数量,层,材料显示,工艺候选,尺寸 mm,体积 mm3
F01_SCAPULAR_BRIDGE,肩胛承力桥 / 640 mm,F01,1,frame,titanium,机加工候选,640.0 x 111.69 x 14.0,575330.62
F02_DORSAL_RAIL,双轨脊柱承力梁 / 370 mm,F02,2,frame,graphite,机加工候选,32.0 x 26.0 x 370.0,159168.06
F02_SLIDE_BLOCK,躯干长度调整滑块,F02,4,frame,steel,机加工候选,52.0 x 58.0 x 24.0,70727.82
F02_VERTEBRA_GUARD,分节防夹背甲,F02,4,shell,ceramic,3 mm 外壳,104.73 x 30.44 x 66.15,21296.39
F03_PELVIC_SADDLE,骨盆承力鞍 / 前开口,F03,1,frame,titanium,机加工候选,456.0 x 244.99 x 44.0,483481.43
F03_SIDE_SHELL,髋外侧曲面护盖,F03,2,shell,ceramic,3 mm 外壳,120.73 x 31.52 x 164.0,58702.59
H01_CHEST_PAD,胸前承托垫,H01,1,soft,graphite,软垫/织物,273.11 x 24.63 x 200.0,287616.52
H01_CHEST_PLATE,胸部快卸接口护板,H01,1,shell,ceramic,机加工候选,242.02 x 26.22 x 148.05,88902.98
H01_BADGE,胸部设备标识面板,H01,1,shell,lime,机加工候选,74.0 x 40.0 x 3.0,8838.64
H02_CUFF,大腿/小腿开放承托环,H02,6,soft,graphite,机加工候选,153.99 x 121.0 x 36.0,92498.96
L01_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L01,2,frame,graphite,机加工候选,91.96 x 91.98 x 36.0,183981.91
L01_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L01,2,frame,steel,机加工候选,97.96 x 97.98 x 5.0,30203.12
L01_COVER,可拆驱动端盖 / 环形识别圈,L01,2,shell,lime,外壳打印样件候选,87.97 x 87.98 x 8.0,31945.76
L01_CAP,编码器检查盖,L01,2,hardware,graphite,机加工候选,47.82 x 47.83 x 5.0,8585.81
L01_BEARING,轴承占位环,L01,2,hardware,steel,标准件包络，待选型,46.9 x 46.91 x 12.0,10399.19
L01_M4_SOCKET,M4 内六角紧固件示意,L01,16,hardware,steel,标准件占位,7.0 x 7.0 x 12.0,242.34
L03_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L03,2,frame,graphite,机加工候选,85.97 x 85.98 x 32.0,142903.83
L03_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L03,2,frame,steel,机加工候选,91.96 x 91.98 x 5.0,26584.99
L03_COVER,可拆驱动端盖 / 环形识别圈,L03,2,shell,lime,外壳打印样件候选,81.97 x 81.98 x 8.0,27645.84
L03_CAP,编码器检查盖,L03,2,hardware,graphite,机加工候选,44.7 x 44.71 x 5.0,7452.94
L03_BEARING,轴承占位环,L03,2,hardware,steel,标准件包络，待选型,43.84 x 43.85 x 12.0,9087.0
L03_M4_SOCKET,M4 内六角紧固件示意,L03,16,hardware,steel,标准件占位,7.0 x 7.0 x 12.0,242.34
L05_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L05,2,frame,graphite,机加工候选,65.97 x 65.99 x 26.0,68384.58
L05_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L05,2,frame,steel,机加工候选,71.97 x 71.99 x 5.0,16151.37
L05_COVER,可拆驱动端盖 / 环形识别圈,L05,2,shell,lime,外壳打印样件候选,61.98 x 61.99 x 8.0,15553.06
L05_CAP,编码器检查盖,L05,2,hardware,graphite,机加工候选,34.31 x 34.31 x 5.0,4228.29
L05_BEARING,轴承占位环,L05,2,hardware,steel,标准件包络，待选型,33.65 x 33.65 x 12.0,5351.94
L05_M4_SOCKET,M4 内六角紧固件示意,L05,16,hardware,steel,标准件占位,7.0 x 7.0 x 12.0,242.34
A01_HOUSING,同轴驱动壳 / 电机与减速器安装腔,A01,2,frame,graphite,机加工候选,111.96 x 111.98 x 48.0,363558.47
A01_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,A01,2,frame,steel,机加工候选,117.95 x 117.98 x 5.0,43890.35
A01_COVER,可拆驱动端盖 / 环形识别圈,A01,2,shell,lime,外壳打印样件候选,107.96 x 107.98 x 8.0,48519.1
A01_CAP,编码器检查盖,A01,2,hardware,graphite,机加工候选,58.22 x 58.23 x 5.0,12913.63
A01_BEARING,轴承占位环,A01,2,hardware,steel,标准件包络，待选型,57.1 x 57.11 x 12.0,15412.03
A01_M4_SOCKET,M4 内六角紧固件示意,A01,16,hardware,steel,标准件占位,7.0 x 7.0 x 12.0,242.34
