零件编号,名称,模块,数量,层,工艺候选,尺寸 mm,体积 mm3
F01_SCAPULAR_BRIDGE,肩胛承力桥 / 640 mm,F01,1,frame,机加工候选,640.0 x 111.69 x 14.0,575329.37
F02_DORSAL_RAIL,双轨脊柱承力梁 / 370 mm,F02,2,frame,机加工候选,32.0 x 26.0 x 370.0,159171.7
F02_SLIDE_BLOCK,躯干长度调整滑块,F02,4,frame,机加工候选,52.0 x 58.0 x 24.0,70728.17
F02_VERTEBRA_GUARD,分节防夹背甲,F02,4,shell,3 mm 外壳,107.42 x 32.02 x 66.0,27602.6
F03_PELVIC_SADDLE,骨盆承力鞍 / 前开口,F03,1,frame,机加工候选,455.96 x 244.96 x 44.0,483743.29
F03_SIDE_SHELL,髋外侧曲面护盖,F03,2,shell,3 mm 外壳,121.0 x 31.8 x 164.0,74246.34
H01_CHEST_PAD,胸前承托垫,H01,1,soft,软垫/织物,278.97 x 25.83 x 200.0,371217.84
H01_CHEST_PLATE,胸部快卸接口护板,H01,1,shell,机加工候选,247.9 x 26.86 x 148.0,79445.17
H02_CUFF,大腿/小腿开放承托环,H02,6,soft,机加工候选,153.97 x 121.0 x 36.0,92508.13
L01_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L01,2,frame,机加工候选,91.98 x 91.99 x 36.0,184066.13
L01_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L01,2,frame,机加工候选,97.98 x 97.99 x 5.0,30216.88
L01_COVER,可拆驱动端盖 / 环形识别圈,L01,2,shell,外壳打印样件候选,87.98 x 87.99 x 8.0,31960.38
L01_CAP,编码器检查盖,L01,2,hardware,机加工候选,47.83 x 47.83 x 5.0,8577.65
L01_BEARING,轴承占位环,L01,2,hardware,标准件包络，待选型,46.91 x 46.91 x 12.0,10403.95
L01_M4_SOCKET,M4 内六角紧固件示意,L01,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
L03_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L03,2,frame,机加工候选,85.98 x 85.99 x 32.0,142969.24
L03_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L03,2,frame,机加工候选,91.98 x 91.99 x 5.0,26597.09
L03_COVER,可拆驱动端盖 / 环形识别圈,L03,2,shell,外壳打印样件候选,81.98 x 81.99 x 8.0,27658.5
L03_CAP,编码器检查盖,L03,2,hardware,机加工候选,44.71 x 44.71 x 5.0,7495.53
L03_BEARING,轴承占位环,L03,2,hardware,标准件包络，待选型,43.85 x 43.86 x 12.0,9091.16
L03_M4_SOCKET,M4 内六角紧固件示意,L03,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
L05_HOUSING,同轴驱动壳 / 电机与减速器安装腔,L05,2,frame,机加工候选,65.99 x 65.99 x 26.0,68415.88
L05_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,L05,2,frame,机加工候选,71.98 x 71.99 x 5.0,16158.7
L05_COVER,可拆驱动端盖 / 环形识别圈,L05,2,shell,外壳打印样件候选,61.99 x 61.99 x 8.0,15560.18
L05_CAP,编码器检查盖,L05,2,hardware,机加工候选,34.31 x 34.32 x 5.0,4415.33
L05_BEARING,轴承占位环,L05,2,hardware,标准件包络，待选型,33.65 x 33.66 x 12.0,5354.39
L05_M4_SOCKET,M4 内六角紧固件示意,L05,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
A01_HOUSING,同轴驱动壳 / 电机与减速器安装腔,A01,2,frame,机加工候选,111.97 x 111.99 x 48.0,363724.88
A01_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,A01,2,frame,机加工候选,117.97 x 117.99 x 5.0,43910.37
A01_COVER,可拆驱动端盖 / 环形识别圈,A01,2,shell,外壳打印样件候选,107.98 x 107.99 x 8.0,48541.31
A01_CAP,编码器检查盖,A01,2,hardware,机加工候选,58.23 x 58.23 x 5.0,12711.61
A01_BEARING,轴承占位环,A01,2,hardware,标准件包络，待选型,57.11 x 57.11 x 12.0,15419.08
A01_M4_SOCKET,M4 内六角紧固件示意,A01,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
A03_HOUSING,同轴驱动壳 / 电机与减速器安装腔,A03,2,frame,机加工候选,95.98 x 95.99 x 40.0,222688.7
A03_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,A03,2,frame,机加工候选,101.98 x 101.99 x 5.0,32755.26
A03_COVER,可拆驱动端盖 / 环形识别圈,A03,2,shell,外壳打印样件候选,91.98 x 91.99 x 8.0,35000.71
A03_CAP,编码器检查盖,A03,2,hardware,机加工候选,49.91 x 49.91 x 5.0,9339.6
A03_BEARING,轴承占位环,A03,2,hardware,标准件包络，待选型,48.95 x 48.95 x 12.0,11328.3
A03_M4_SOCKET,M4 内六角紧固件示意,A03,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
A04_HOUSING,同轴驱动壳 / 电机与减速器安装腔,A04,2,frame,机加工候选,67.98 x 67.99 x 30.0,83798.22
A04_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,A04,2,frame,机加工候选,73.98 x 73.99 x 5.0,17089.86
A04_COVER,可拆驱动端盖 / 环形识别圈,A04,2,shell,外壳打印样件候选,63.99 x 63.99 x 8.0,16614.85
A04_CAP,编码器检查盖,A04,2,hardware,机加工候选,35.35 x 35.36 x 5.0,4686.87
A04_BEARING,轴承占位环,A04,2,hardware,标准件包络，待选型,34.67 x 34.68 x 12.0,5683.82
A04_M4_SOCKET,M4 内六角紧固件示意,A04,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
H03_HOUSING,同轴驱动壳 / 电机与减速器安装腔,H03,2,frame,机加工候选,33.99 x 34.0 x 17.0,11871.41
H03_FLANGE,输出轴承法兰 / 8×Ø4.5 孔,H03,2,frame,机加工候选,39.99 x 40.0 x 5.0,4665.44
H03_COVER,可拆驱动端盖 / 环形识别圈,H03,2,shell,外壳打印样件候选,29.99 x 30.0 x 8.0,3375.06
H03_CAP,编码器检查盖,H03,2,hardware,机加工候选,17.68 x 17.68 x 5.0,1172.43
H03_BEARING,轴承占位环,H03,2,hardware,标准件包络，待选型,17.34 x 17.34 x 12.0,1420.95
H03_M4_SOCKET,M4 内六角紧固件示意,H03,16,hardware,标准件占位,7.0 x 7.0 x 12.0,242.46
